id,titulo,genero,actor1,actor2,actor3,director,anio,calidad,formato,sinopsis
326,EL DESPERTAR,Drama,Gregory Peck,Jane Wyman,Claude Jarman,Clarence Brown,1946,Color,DVD,
327,CANTANDO BAJO LA LLUVIA,Musical,Gene Kelly,Donald O'Connor,Debbie Reynolds,Stanley Donen,1952,Color,DVD,
328,UN DIA EN NUEVA YORK,Musical,Gene Kelly,Frank Sinatra,Betty Garret,Stanley Donen/G.Kelly,1949,Color,DVD,
329,EXTRAÑOS EN UN TREN,Suspenso,Farley Granger,Ruth Roman,Robert Walker,Alfred Hitchcock,1951,ByN,DVD,
330,BATMAN Y ROBIN (Serial),Aventuras,Robert Lowery,John Duncan,Jane Adams,Spencer Bennet,1949,ByN,DVD,
331,EL CAPITAN MARVEL  (Serial),Aventuras,Tom Tyler,Frank Coghlan,Louise Currie,William Witney/J.English,1941,ByN,DVD,"13-04-1943 El Mundo
   Frank Coglan Jr fue contratado debido a su enorme parecido físico con el Billy del comic.
   Los efectos especiales alcanzan un nivel sorprendente y pertenecen a los hermanos Howard y Theodore Lydecker que en ese momento eran empleados de la Republic.
   Está considerado como uno de los mejores seriales de la historia.
   Fue reestrenada en Usa en los sesenta cuando el auge de la fiebre camp que surgió cuando el éxito de la serie Batman."
332,DETECTIVE A CONTRAMANO,Comedia,Juan Carlos Mareco,Mirta Torres,Roberto Fontana,Adolfo L. Fabregat,1949,ByN,DVD,"Uruguay 1949
Argumento: Noel Varona, Pablo Vitarte
Fotogrefía: Francisco Tastas Moreno
Montaje: Daniel Spósito Pereira
Sonido: Narciso Tiboni
Elenco: Juan Carlos Mareco (Pinocho)
             Mirta Torres, Roberto Fontana, Didio Pastorino,Pebete Romero,Hugo Duhalde.
Produccion Ecran (Fabregat) y Magicolor (Tastas Moreno)
   Esta comedia totalmente realizada en Uruguay, con participación de artistas y técnicos nacionales, tiene la particularidad de haber constituido uno de los escasos y mas resonantes éxitos de público del cine uruguayo.
   Las aspiraciones de sus realizadores eran precisamente las de alcanzar un nivel profesional equiparable a lo que posteriormente se conoció como la época dorada del cine argentino desde el punto de vista popular y comercial. Los resultados fueron desde ese punto de vista ampliamente satisfactorios, aunque por razones coyunturales el film vio impedida su distribución en la Argentina (el gobierno peronista no autorizó su exhibición), donde el protagonista Juan Carlos Mareco era ya una figura popular y hubiera contribuido en gran parte al éxito económico de la empresa. De ese modo, la pelícila rodada en cooperatica a un costo de $ 50.200, tuvo que recuperar esa inversión con exhibiciones dentro de fronteras.
   DETECTIVE A CONTRAMANO contaba con el prestigio radial de Pinocho, quien luego se radicó definitivamente en Buenos Aires. Pero además de esa presencia dominante, lograba un ritmo sostenido, una trama ingenua pero resuelta con agilidad y simpatía los enrededos de un jóven aficionado a la literatura policial, envuelto en un asunto detectivesco en la vida real.
   Para los nostálgicos algunas tomas en exteriores muestran el Montevideo de fines de los 40, época feliz para un Uruguay que intentaba - entre otras cosas - instalar su propia industria cinematográfica.
6-10-1949 Grand Palace"
333,MI NOVIA ES UN FANTASMA,Comedia,Mirtha Legrand,Pepe Iglesias,Nuri Montsé,Francisco Mugica,1944,ByN,DVD,"18-05-1944 Ambassador
La mucama de un hotel es confundida con una millonaria y un periodista se enamora de ella."
334,UNA GALLEGA EN MEXICO,Comedia,Niní Marshall,Joaquín Pardavé,Alma Rosa Aguirre,Juan Soler,1949,ByN,DVD,"Pensada sin otra preocupación que provocar la risa utilizando el carisma de Niní, este film fue la consecuencia del involuntario ostracismo de la diva  (caida en desgracia por el primer peronismo) lo que le permitió que filmara en México, España y Cuba. La presencia de un cómico importante de la época como Pardacé, una especie de Pepe Arias mexicano, así como la de Jorge Negrete y el trío Los Panchos, le otorgan a la película una serie ingredientes adicionales.
Fecha de estreno en Montevideo: 15-08-1950 Cine Grand Place"
335,EL ENGAÑO (Defraudadas),Drama,Clint Eastwood,Geraldine Page,Elizabeth Hartman,Donald Siegel,1970,Color,DVD,
336,TRES ANCLADOS EN PARIS,Comedia,Florencio Parravicini,Tito Lusiardo,Hugo del Carril,Manuel Romero,1937,ByN,DVD,"18-03-1938 Radio City
Tres emigrantes tratan de sobrevivir como pueden en París."
337,EL CAÑONERO DE GILES,Comedia,Luis Sandrini,Marcos Caplán,Luisa Vehil,Manuel Romero,1937,ByN,DVD,"Lorenzo Fierro (Sandrini) es un muchacho de pueblo, que practica fútbol en forma amateur. Es un jugador mediocre, pero ante los ladridos de un perro, se transforma en un potente cañonero. Es descubierto por algunos dirigentes de un Club de la Capital y creen que es el jugador que andaban buscando.
8-06-1937 Ariel"
338,MUCHACHAS QUE ESTUDIAN,Comedia,Enrique Serrano,Sofía Bozán,Alicia Vignoli,Manuel Romero,1939,ByN,DVD,"Fecha de estreno en Montevideo:19-03-1940. Cine Radio City.
   Mezcla de comedia sofisticada y melodrama romántico, aborda un tema infrecuente: las chicas que se resisten al amor. El tratamiento que Romero hace del tema le permite, sin embargo, pasar por todos los tópicos atractivos para el público de la época: la gente solidaria, la maldad casi no existe, todo el mundo se casa y termina con un final feliz.
 Un elenco de figuras de relieve donde debe agregarse, además de las citadas más arriba, a Delia Garcés,Pepita Serrador, Alicia Barrié, Enrique Roldán."
339,LOS TRES BERRETINES,Comedia,Luis Sandrini,Luis Arata,Héctor Quintanilla,Enrique T.Susini,1932,ByN,DVD,"15-09-1933 Colonial
Los tres berretines a que alude el título son tres pasiones rioplatenses: el futbol,la música y el cine.
  Hay quienes sostienen que este es el verdadero primer film sonoro argentino, también es el primero del sello Lumiton.
  Netamente superior a Tango, estrenado unos días antes, en lo cinemtográfico y argumento. Hay varios posibles codirectores, John Alton, como ejemplo y no figuran en los créditos, pero hoy es dificil de determinar."
340,LA MUCHACHADA DE ABORDO,Comedia,Luis Sandrini,Tito Lusiardo,Santiago Arrieta,Manuel Romero,1936,ByN,DVD,"30-06-1936 Rex
En la Marina, un conscripto se enfrenta con un supeior por el amor de una mujer."
341,RODRIGUEZ SUPERNUMERARIO,Comedia,Pepe Arias,Golde Flami,Floren Delbene,Enrique Cahen Salaberry,1948,ByN,DVD,"2-08-1948 Grand Palace
   Un humilde empleado busca su nombramiento, pero es resposabilizado por unas deshonestas maniobras de algunos compañeros.
   Un pequeño clásico de Pepe Arias."
342,SAFO,Drama,Mecha Ortiz,Roberto Escalada,Mirtha Legrand,Carlos H. Christensen,1943,ByN,DVD,"16-09-1943 Ambassador
La pasión de un hombre joven por una misteriosa y seductora mujer mucho mayor que él, lo lleva a cancelar su compromiso con una chica.
 Título fundamental en la filmografía de Carlos Hugo Chriestensen y que inaugura el cine erótico rioplatense.
  Un clásico."
343,VUELVEN LOS SIETE MAGNIFICOS,Western,George Kennedy,James Whitmore,Frank Silvera,Paul Wandkos,1969,Color,DVD,Fecha de estreno en Montevideo: 26 de octubre de 1970. Central
344,ANATOMIA DE UN ASESINATO,Policial,James Stewart,Lee Remick,Ben Gazzara,Otto Preminger,1959,ByN,DVD,11-04-1960 Plaza
345,EL DIA DEL CHACAL,Policial,Edward Fox,Alan Badel,Tony Britton,Fred Zinnemann,1973,Color,DVD,01-01-1974 Censa
346,LA CADENA INVISIBLE,Drama,Rody Mc Dowall,Donald Crisp,Nigel Bruce,Fred M. Wilcox,1943,Color,DVD,4-08-1944 Metro
347,SUPERMAN  (Serial),Ciencia Ficción,Kirk Alyn,Noel Neill,Carol Forman,Spencer Bennet/T.Carr,1948,ByN,DVD,15-12-1952 Ambassador. En episodios.
349,EL PRINCIPE DE LOS ZORROS,Aventuras,Tyrone Power,Orson Welles,Wanda Hendrix,Henry King,1949,BYN,DVD,"Durante el renacimiento italiano, César Borgia envía al ambicioso cortesano Andrea Orsini a que se infiltre en una ciudad-estado para que le envíe informes de cara a una futura invasión. Orsini se enamora de Camila, la joven esposa del bonadadoso Conde  Verano, que gobierna el lugar, pero Orsini será incapaz de traicionarles.
  Fecha de estreno en Motevideo: 10 de mayo de 1950. Cines Ambassador,California y Luxor."
350,LA ROSA NEGRA,Aventuras,Tyrone Power,Orson Welles,Cecil Aubry,Henry Hathaway,1950,Color,DVD,"En la Inglaterra del siglo XIII, un noble sajón y su fiel amigo abandonan su patria, hartos de la tiranía de los normandos. Intentan refugiarse en los remotos paises del este. Se unen aun poderoso señor feudal y viven emocionantes aventuras. En China son recibidos como dioses y les enseñan el uso de la pólvora y la imprenta. Entonces decidirán regresar a su patria.
  Fecha de estreno en Montevideo: 6 de diciembre de 1950. Cines California y Luxor."
351,LA REINA,Drama,Helen Mirren,Michael Sheen,James Cromwell,Stephen Frears,2006,Color,DVD,"Fecha de estreno en Montevideo: 18 de mayo de 2007. Cines Movie Center Montevideo, Movie Center Portones,Punta Carretas Hoyts,Alfabeta Hoyts, Grupo Cine Torre de los Profesionales."
353,EL BUEN PASTOR,Comedia,Bing Crosby,Barry Fitzgerald,Frank McHugh,Leo Mc Carey,1944,ByN,DVD,"Este original film ganó 7 Oscar incluyendo el de Mejor Actor (Bing Crosby), Mejor Película y mejor  Director. Cuando el joven Padre O'Malley (Crosby) se une a la vieja congregación de una Parroquia, las cosas se complican. El Padre Fizgibbon (Barry Fitgerald) no cree demasiado en O'Malley y sus ideas. Los dos sacerdotes no coinciden en nada. Pero cuando los métodos de O'Malley empiezan a triunfar entre los miembros más jóvenes de la comunidad la situación cambiará.
Fecha de estreno en Montevideo: 16 de marzo de 1945.Cine Coventry."
354,LA MONTAÑA EMBRUJADA,Comedia,Eddie Albert,Ray Milland,Donald  Pleasence,John Hough,1975,Color,DVD,15-09-1977 Ambassador
355,RETORNO A LA MONTAÑA EMBRUJADA,Comedia,Bette Davis,Christopher Lee,Kim Richards,John Hough,1978,Color,DVD,27-03-1980 Iguazú
356,LOS PULPOS,Drama,Roberto Escalada,Olga Zubarry,Nicolas Fregues,Carlos H. Christensen,1948,ByN,DVD,"25-03-1948
Una chica del interior llega a la ciudad enamorada de un joven novelista al que traiciona."
357,LOS CHICOS CRECEN,Drama,Arturo García Buhr,Santiago Gómez Cou,Pepita Serrador,Carlos H. Christensen,1942,ByN,DVD,"20-08-1942 Ambassador
Un abogado que lleva una doble vida viaja a Europa. Un amigo le cuida la familia que deja. Este se encarga de la educación de sus hijos. Al regresar el padre pretende quedarse con la familia abandonada."
358,OBRAS MAESTRAS DEL TERROR,Terror,Narciso Ibañez Menta,Osvaldo Pacheco,Carlos Estrada,Enrique Carreras,1960,ByN,DVD,"8-01-1962 Coventry
EL CASO DEL SR VALDEMAR
Narciso Ibáñez Menta, Osvaldo Pacheco, Lilian Valmar
Un médico hipnotiza a un enfermo terminal retrasando su muerte.

EL TONEL DEL AMONTILLADO
Narciso, Carlos Estrada, Inés Moreno
Una mujer le es infiel a su esposo

EL CORAZON DELATOR
Narciso Ibáñez Serrador, Silvia Montanari,Narciso Ibáñez Serrador
Un viejo relojero recibe a su sobrino en su negocio.

De lo mejor de Carreras, pero con mucho de Ibáñez Menta e Ibáñez Serrador."
359,PALABRA DE HONOR,Drama,Luis Sandrini,Alicia Vignoli,Roberto Airaldi,Luis César Amadori,1939,ByN,DVD,"18-05-1939 Radio City
Un heladero empeña su palabra de honor para salvar a una mujer."
360,SU MEJOR ALUMNO,Histórica,Enrique Muiño,Angel Magaña,Orestes Caviglia,Lucas Demare,1944,ByN,DVD,"Fecha de estreno en Montevideo: 17-05-1945. Cine Ambassador.
Fragmento de la vida de Domingo Faustino Sarmiento, la relación con su hijo y su vuelta a la Argentina."
361,AVIVATO,Comedia,Pepe Iglesias,Lilian Valmar,Tono Andreu,Enrique Cahen Salaberry,1949,ByN,DVD,"Fecha de estreno en Montevideo: 6-09-1949. Cine Grand Palace.
  Cuenta la historia de un individuo empeñado en entrar a todos lados sin pagar entrada.
  Es el mayor éxito de Pepe Iglesias y de Cahen Salaberry, inspirado en un film francés y con gran resultado de taquilla. Está basado vagamente en el personaje de Lino Palacio, motivó una pequeña moda de historietas llevadas al cine. Marcó todo un record en Argentina, estuvo diez semanas en cartel."
362,PELUQUERIA DE SEÑORAS,Comedia,Luis Sandrini,Amanda Ledesma,June Marlowe,Luis Bayón Herrera,1941,ByN,DVD,"30-04-1942 Radio City
Un peluquero se transforma en campeón de box."
363,EL DIABLO A LAS 4,Drama,Spencer Tracy,Frank Sinatra,Jean Peirre Aumont,Mervyn Le Roy,1961,Color,DVD,5-03-1962 Plaza
364,LAS CAMPANAS DE SANTA MARIA,Comedia,Bing Crosby,Ingrid Bergman,Henry Travers,Leo Mc Carey,1945,Color,DVD,
365,UNA ATREVIDA AVENTURITA,Comedia,Susana Freyre,Roberto Escalada,Tito Gomez,Carlos H. Christensen,1948,ByN,DVD,"1-06-1948 Ambassador
  Los propietarios de un hotel en el sur argentino en decadencia tratan de convencer a un posible comprador de que el mismo funciona normalmente."
366,DON FULGENCIO,Comedia,Enrique Serrano,Malvina Pastorino,Analía Gadé,Enrique Cahen Salaberry,1950,ByN,DVD,"21-09-1950 Grand Palace, Victory
La historia de un hombre que no tuvo infancia, hábil para los negocios, pero que sigue practicando bromas inocentes.
Buena adaptación  de un personaje de historietas creado por Lino Palacio.
 Buena construcción del personaje por parte de Enrique Serrano"
367,SOLO LOS VALIENTES,Western,Gregory Peck,Ward Bond,Lon Chaney Jr,Gordon Douglas,1951,ByN,DVD,"5-12-1955 Plaza.
  El Capitán Richard Lance (Gregory Peck) es injustamente acusado por su novia y sus hombres de la muerte del apreciado teniente Holloway, asesinado por los indios. Con un pequeño grupo de soldados, Lance ha de defender un fuerte abandonado que cierra un paso en un desfiladero hasta que lleguen refuerzos. Una misión imposible por el grupo elegido por el Capitán ya que lo forma con descontentos,desertores, psicópatas, borrachos y cobardes que llevan a Lance a luchar contra los apaches hostiles para probar su lealtad a sus hombres y a la mujer que ama."
368,EL ULTIMO DE LOS MOHICANOS,Western,Randolph Scott,Binnie Barnes,Henry Wilcoxon,George B. Seitz,1936,ByN,DVD,6-03-1937 Rex
370,LA VIDA COLOR DE ROSA,Comedia,Virginia Luque,Fidel Pintos,Santiago Arrieta,Leon Klimovsky,1951,ByN,DVD,"Fecha de estreno en Montevideo: 20 de febrero de 1951. Cine Ambassador y Grand Palace.
  Por error una manicura recibe una herencia."
371,DE AQUÍ A LA ETERNIDAD,Bélica,Burt Lancaster,Deborah Kerr,Frank Sinatra,Fred Zinneman,1953,ByN,DVD,23-04-1954 Censa
372,VIVA ZAPATA,Drama,Marlon Brando,Jean Peters,Anthony Quinn,Elia Kazan,1952,ByN,DVD,
373,WINCHESTER 73,Western,James Stewart,Shelley Winters,Dan Duryea,Anthony Mann,1950,ByN,DVD,"Winchester 73 es el film que inició,seguido por otros cuatro, la estrecha colaboración entre el Director Anthony Mann y James Stewart.
  Un certamen de tiro, el 4 de julio de 1876 (centenario de la independencia de USA) en Dodge City ofrecía de premio el valioso rifle Winchester 73 ""el arma que conquistó el oeste"". El concurso lo gana Lin Mc Adam (Stewart), pero se lo robaba el derrotado Henry Brown (Stepehen Mc Nally), de cuyas manos pasaría, con motivo de una partida de poker, al traficante de armas Joe Lamont (John McIntare). Muerto este por los indios, el rifle queda en poder de Young Bull (Rock Hudson), aunque por poco tiempo: tras un ataque a un destacamento de la caballería, el arma era encontrada entre los cadáveres y recogida por Steve Miller (Charles Drake), amante de
 la pianista de saloon Lola Manners (Shelley Winters). Paralelamente Lin McAdam y su amigo Frankie Spade (Millard Mitchell) seguían la pista de Brown; según se sabría mucho después, era en realidad hermano de Lin y había matado por la espalda al padre de ambos. Y, por via del pistolero Waco (Dan Duryea) el rifle regresaba  a las manos  de Mathhhew; entonces Lin consumaría su venganza, y admás recuperaría el premio de Dodge City.
CURIOSIDADES
                          Para esta película, James stewart renunció a su cache fijo de 250.000 dólares. La Universal, que se hallaba en crisis, le propuso un 50% de las ganancias derivadas de los ingresos. El buen resultado le aseguró al actor la cifra de U$S 600.000.
                        El Winchester fue patentado por Oliver F. Winchester en 1860.
Fecha de estreno en Montevideo: 13-10-1952. Cines Iguazú y Central."
374,DUELO EN LA ALTA SIERRA,Western,Randolph Scott,Joel McCrea,Mariette Hartley,Sam Peckinpah,1962,Color,DVD,
375,LA PATRULLA CHIFLADA,Comica,Rafael Carret,Jorge Luz,Guillermo Rico,Carlos Rinaldi,1952,ByN,DVD,"Fecha de estreno en Montevideo: 28-07-1952.
Con la excusa de perseguir en Casablanca y en el desierto a una banda traficantes, Los cinco grandes del buen humor logran su mejor película. Con un desarrollo ágil y eficaz, buenos gags y meritoria dirección de Carlos Rinaldi."
377,ROOSTER COGBURN,Western,John Wayne,Katharine Hepburn,Richard Jordan,Stuart Millar,1975,Color,DVD,1-03-1976 Censa
378,UN TRANVIA LLAMADO DESEO,Drama,Vivien Leigh,Marlon Brando,Karl Malden,Elia Kazan,1951,ByN,DVD,5-10-1953 Plaza
379,LA MASCARA,Comedia,Jim Carrey,Cameron Diaz,Peter Riegert,Chuck Russell,1994,Color,DVD,"31-03-1995. Cinemetro, Opera, Casablanca"
380,UNA INVENCION DIABOLICA,Ciencia Ficción,Arnost Navratil,Lubor Tokos,Miloslav Holub,Karel Zeman,1958,ByN,DVD,Fecha de estreno en Montevideo: 27-11-1960. Cine Plaza.
381,EL REY DEL CONGO (Serial),Aventuras,Buster Crabbe,Gloria Dea,Leonard Penn,Spencer Bennet,1952,ByN,DVD,31-01-1956 Victory en episodios
382,CANDIDA,Comedia,Nini Marshall,Juan C. Thorry,Augusto Codecá,Luis Bayón Herrera,1939,ByN,DVD,"1-06-1940 Rex
Una doméstica gallega pasa a trabajar en una casa donde reemplaza a la la madre recién fallecida."
383,CHINGOLO,Comedia,Luis Sandrini,Carlos Morganti,Rosa Catá,Lucas Demare,1940,ByN,DVD,"Cuando Chingolo (Luis Sandrini) un joven y simpático linyera salva a un niño de morir ahogado, su tranquila y despreocupada vida ya no será la misma.
    Cuando la acaudalada familia del chico desea recompensarlo con algo de dinero, se sorprenden ante la negativa del singular personaje, que por su heroica acción, solamente aceptaría algo de comida. Ante tanta bondad, la madre del niño se empeña en transformar a Chingolo en un hombre trabajador, motivando los mas disparatados e hilarantes enredos.
Fecha de estreno en Montevideo: 18-09-1940. Ambassador"
384,SAN FRANCISCO,Drama,Clark Gable,Jeanette McDonald,Spencer Tracy,W.S.Van Dyke,1936,ByN,DVD,
385,UNION PACIFIC,Western,Barbara Stanwyck,Joel McCrea,Akim Tamiroff,Cecil B. De Mile,1939,ByN,DVD,
386,13 RUE MADELEINE,Policial,James Cagney,Richard Conte,Frank Latimore,Henry Hathaway,1947,ByN,DVD,
387,OPERACIÓN WHISKY,Comedia,Cary Grant,Leslie Caron,Trevor Howard,Ralph Nelson,1964,Color,DVD,
388,EL LUCHADOR DE KENTUCKY,Western,John Wayne,Oliver Hardy,Vera Ralston,George Waggner,1949,Color,DVD,
389,EL IMPERIO SUBMARINO(Serial),Aventuras,"Ray ""Crash"" Corrigan",Lois Wilde,Monte Blue,B. Reeves Eason,1936,ByN,DVD,
390,EL REY DE LOS HOMBRES COHETE (Serial 12 ep),Ciencia Ficción,Tristram Coffin,Mae Clarke,Don Haggerty,Fred C. Brannon,1949,ByN,DVD,"Un cientifico inventa unos cohetes que al ser colocados en la espalda puede hacer que una persona vuele. Jeff Jing (Tristam Coffin) enfrenta a un endemoniado conspirador(El Dr Vulcano)que quiere apoderarse de los cohetes para amenazar con destruir grandes ciudades si no le pagan un rescate. King sospecha que el maléfico Dr Vulcano integra la Directiva de un círculo de científicos.
 Uno de los últimos seriales importantes de la Republic.
Episodios:
 1) El traidor Dr Vulcano
 2) Muerte en el abismo
 3) Evidencia peligrosa
 4) Alto Peligro
 5) Salto Fatal
 6) El misterio del Hombre Cohete
 7) Terror derretido
 8) Vuelo suicida
 9) Diez segundos de vida
10)Niebla mortal
11)El secreto del Dr Vulcano
12)Ola de desastres
Estreno: 13-04-1954. Victory"
391,LA ARAÑA MORTAL  (Serial),Policial,Bruce Edwards,Carol Forman,Anthony Warde,Spencer Bennet/F.Bran,1947,ByN,DVD,"Un grupo de un país de oriente tiene planes de dominar el mundo.
 La célula infiltrada en USA la lidera una mujer que se hace pasar por adivina (Carol Forman).
Episodios:
1) Profecía Mortal
2) La fórmula robada
3) La Muerte escondida
4) Peligro en el cielo
5) La guarida de la araña
6) La guillotina de cristal
7) La ruedas mortales
8) Información falsa
9) El veneno de la araña
10) El cuerpo robado
11) La muerte marca un número
12) El espejo parlante
13) Una vida por otra
Estreno: 10-07-1949 en episodios en varias salas."
392,LA LEGION DEL ZORRO  (Serial),Western,Reed Hadley,Sheila Darcy,William Corson,William Witney/J.English,1939,ByN,DVD,"El Consejo de San Mendolito tiene que custodiar las entergas de lo producido de las minas de oro al gobierno. Pero un ídolo de los indios Yaquis ""Don del Oro"" cobra vida e incita a los nativos a sublevarse. Un patriota que ha formado una legión para proteger los cargamentos resulta asesinado.Aparece entonces El Zorro para tomar el puesto del patriota asesinado. La aparición del enmascarado coincide con la aparición de un refinado Don Diego de la Vega
7-04-1942 Cine Lezica"
393,FLASH GORDON (Serial),Ciencia Ficción,Buster Crabbe,Jean Rogers,Charles Middleton,Frederick Stephani,1936,ByN,DVD,
394,FLASH  GORDON EN MARTE (Serial),Ciencia Ficción,Buster Crabbe,Jean Rogers,Charles Middleton,Ford Beebe/Robert Hill,1938,ByN,DVD,
395,FLASH GORDON CONQUISTA EL UNIVERSO (serial),Ciencia Ficción,Buster Crabbe,Jean Rogers,Charles Middleton,Ford Beebe/Robert Hill,1940,ByN,DVD,
396,LA DIOSA BLANCA  (Serial),Aventuras,Allan Lane,Linda Stirling,George Lewis,S.Bennet/Wallace Grissell,1944,ByN,DVD,
397,EL LLANERO SOLITARIO (Serial),Western,Lee Powell,Chief Thundercloud,Lynn Roberts,William Witney/John English,1938,ByN,DVD,
398,LA SOMBRA DEL TERROR  (Serial),Policial,Victor Jory,Veda Ann Borg,Roger Moore,James W. Horne,1940,ByN,DVD,
399,EL HIJO DEL ZORRO (Serial),Western,George Turner,Peggy Stewart,Roy Barcroft,S. Bennet/Fred  Brannon,1947,ByN,DVD,
400,EL LATIGO DEL ZORRO (Serial),Western,George Lewis,Linda Stirling,Lucien Litlefield,S. Bennet/Wall.Grisell,1944,ByN,DVD,
401,MANDRAKE EL MAGO   (Serial),Policial,Warren Hull,Doris Weston,Al Kifume,Sam Nelson/N.Deming,1939,ByN,DVD,
402,MARTE INVADE LA TIERRA (Serial),Ciencia Ficción,Roy Barcroft,Linda Stirling,Dennis Moore,S. Bennet y F. Brannon,1945,ByN,DVD,
403,EL FANTASMA (Serial),Aventuras,Tom Tyler,Jeanne Bates,Kenneth McDonald,B. Reeves Eason,1943,ByN,DVD,
404,PELIGRO ATOMICO (Serial),Policial,Charles Quigley,Linda Stirling,Clayton Moore,W.Witney y F. Brannon,1946,ByN,DVD,
405,LA DAGA DE SALOMON (Serial),Aventuras,Rod Cameron,Duncan Renaldo,Lionel Royce,Spencer Bennet,1943,ByN,DVD,
406,EL ANGEL Y EL MALVADO,Western,John Wayne,Gail Rusell,Harry Carey,James E. Grant,1947,ByN,DVD,
407,EL VENGADOR DE SU PADRE,Western,Sterling Hayden,Sebastian Cabot,Carol Kelly,Joseph H. Lewis,1958,ByN,DVD,
408,TIERRA Y ESPERANZA,Western,James Stewart,Julia Adams,Arthur Kennedy,Anthony Mann,1951,Color,DVD,
409,LA ULTIMA AVENTURA,Western,Robert Shaw,Jeffrey Hunter,Ty Hardin,Robert Siodmak,1968,Color,DVD,
410,VACACIONES ROMANAS (LA PRINCESA QUE QUERIA VIVIR),Comedia,Gregory Peck,Audrey Hepburn,Eddie Albert,William Wyler,1953,ByN,DVD,
411,LA MASCARA DEL ZORRO,Aventuras,Antonio Banderas,Anthony Hopkins,Catherine Zeta Jones,Martin Campbell,1999,Color,DVD,
412,LA MARCA DEL ZORRO,Aventuras,Tyrone Power,Linda Darnell,Basil Rathbone,Rouben Mamoulian,1940,ByN,DVD,
413,MILAGRO EN LA CALLE 34,Comedia,Maureen O'Hara,John Payne,Edmund Gwenn,George Seaton,1947,B&N,DVD,
414,DRACULA SE LEVANTA DE LA TUMBA,Terror,Christopher Lee,Rupert Davies,Verónica Carlson,Freddie Francis,1968,Color,DVD,22-01-1970 18 de julio. Título local Dracula vuelve de la tumba.
415,EL CLUB DE LAS DIVORCIADAS,Comedia,Goldie Hawn,Bette Midler,Diane Keaton,Hugh Wilson,1996,Color,DVD,
416,ESPECIALISTA EN SEÑORAS,Comedia,Juan C. Thorry,Analía Gadé,Ana Ma Campoy,Enrique Cahen Salaberry,1951,ByN,DVD,"Fecha de estreno en Montevideo:22-10-1951 Grand Palace
  Un joven Doctor atiende a sus pacientes bajo la atenta vigilancia de su flamante esposa.
  Thorry interpreta por segunda vez a un Dr especialista en Señoras (como se le llamaba antes a los ginecólogos). La primera fue en La Sra de Pérez se divorcia. Luego será en el suceso televisivo de ""Dr Cándido Pérez""
  La pareja protagónica era muy popular en su momento."
417,CON EL DIABLO EN EL CUERPO,Comedia,Juan C. Thorry,Susana Freyre,Miguel Gómez Bao,Carlos H. Christensen,1947,ByN,DVD,"Fecha de estreno en Montevideo: 28-05-1947.Cine Grand Palace.
   Una joven y sus planes para atrapar a un médico reacio al matrimonio."
419,LA CASA DE LOS MILLONES,Comedia,Luis Sandrini,Olinda Bozán,Héctor Quintanilla,Luis Bayón Herrera,1942,ByN,DVD,"Fecha de esteno en Montevideo:15-04-1943. Cine Radio City.
   Una dama de mal carácter y millonaria es encerrada en un manicomio por sus parientes para apoderarse de su fortuna. Uno de sus sirvientes la salvará.
   Es un clásico del dúo Sandrini-Bozán, que soporta el paso del tiempo."
420,EL DIABLO ANDABA EN LOS CHOCLOS,Comedia,Luis Sandrini,Silvana Roth,María E. Buschiazzo,Manuel Romero,1946,ByN,DVD,"29-05-1946 Grand Palace
Un hombre simple del interior se enamora de una rica mujer que primero se burla, pero al final termina enamorándose.
 Basada en la obra teatral del uruguayo Orlando Aldama que fue uno de los grandes éxitos de Sandrini en salas."
421,PROCESADO 1040,Drama,Narciso Ibañez Menta,Walter Vidarte,Tito Alonso,Ruben W. Cavallotti,1958,ByN,DVD,"Fecha de estreno en Montevideo:8-09-1958 Plaza, Polvorin
 Una persona mayor es llavada a prisión por cortar la enredadera de un vecino y romperle una mayólica. En la carcel sufre varios vejámenes y es protegido por un ratero.
 Basada en la obra teatral de Juan Carlos Patrón del mismo nombre.Fue estrenada en Montevideo por la Comedia Nacional. 
 Walter Vidarte interpretó el mismo personaje que en el teatro y fue una revelación.
  Narciso vuelve a encarnar a un ser torturado.
  Actuaciones consagratorias de Vidarte y Alonso."
422,LA ANTESALA DEL INFIERNO,Drama,Kirk Douglas,Eleanor Parker,William Bendix,William Wyler,1951,ByN,DVD,"Fecha de estreno en Montevideo: 13-04-1953 Trocadero, Eliseo"
423,PEDRO Y EL LOBO,Musical,Pedro,El lobo,El cazador,Walt Disney,1946,Color,DVD,
424,LOS TRES MOSQUETEROS,Dibujos Animados,Mickey Mouse,Donald Duck,Goofy,Walt Disney,,Color,DVD,
425,EL MASTIN DE LOS BASKERVILLE,Policial,Basil Rathbone,Nigel Bruce,Richard Greene,Sidney Landfield,1939,ByN,DVD,
426,SHERLOCK HOLMES Y LA MUJER ARAÑA,Policial,Basil Rathbone,Nigel Bruce,Gale Sondergaard,Roy William Neill,1944,ByN,DVD,
428,LAS AVENTURAS DE SHERLOCK HOLMES,Policial,Basil Rathbone,Nigel Bruce,Ida Lupino,Alfred Werker,1939,ByN,DVD,
429,LA PERLA FATAL,Policial,Basil Rathbone,Nigel Bruce,Dennis Hoey,Roy William Neill,1944,ByN,DVD,
